,,,Party,Won,Total,,,,
Tirupati,167,ARANII SRENEVASULU,Janasena Party,21,BHUMANA ABHINAY,Yuvajana Sramika Rythu Congress Party,11,61956,20/20
Tiruvuru (SC),69,KOLIKAPUDI SRINIVASA RAO,Telugu Desam,135,NALLAGATLA SWAMY DAS,Yuvajana Sramika Rythu Congress Party,11,21874,18/18
Tuni,35,DIVYA YANAMALA,Telugu Desam,135,DADISETTI RAJA,Yuvajana Sramika Rythu Congress Party,11,15177,16/16
Udayagiri,123,KAKARLA SURESH,Telugu Desam,135,MEKAPATI RAJAGOPAL REDDY,Yuvajana Sramika Rythu Congress Party,11,9621,24/24
Undi,60,KANUMURU RAGHU RAMA KRISHNA RAJU (R R R),Telugu Desam,135,PENMETSA VENKATA LAKSHMI NARASIMHA RAJU (P.V.L),Yuvajana Sramika Rythu Congress Party,11,56777,18/18
Ungutur,63,DHARMARAJU PATSAMATLA,Janasena Party,21,PUPPALA SRINIVASA RAO (VASU BABU),Yuvajana Sramika Rythu Congress Party,11,44945,17/17
Uravakonda,149,PAYYAVULA KESHAV,Telugu Desam,135,Y. VISWESWARA REDDY,Yuvajana Sramika Rythu Congress Party,11,21704,15/15
Vemuru (SC),89,ANANDA BABU NAKKA,Telugu Desam,135,ASHOK BABU VARIKUTI,Yuvajana Sramika Rythu Congress Party,11,22021,17/17
Venkatagiri,122,KURUGONDLA RAMAKRISHNA,Telugu Desam,135,NEDURUMALLI RAM KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,11,16294,22/22
Vijayawada Central,80,BONDA UMAMAHESWARARAO,Telugu Desam,135,VELAMPALLI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party,11,68886,21/21
Vijayawada East,81,GADDE RAMA MOHAN,Telugu Desam,135,AVINASH DEVINENI,Yuvajana Sramika Rythu Congress Party,11,49640,23/23
Vijayawada West,79,YALAMANCHILI SATYANARAYANA CHOWDARY (SUJANA CHOWDARY),Bharatiya Janata Party,8,ASIF SHAIK,Yuvajana Sramika Rythu Congress Party,11,47032,20/20
